site_protocol_code,seasonYear,gridID,latitude,longitude,elevation_in_mts,aru_deployment_date,aru_deployment_time,aru_sampling_configuration,aru_sampling_duration,filenames,deviceID,startTime,fullPart
Candura_pointCountSurvey,2024Summer,H03,10.3040187,76.8366309,NA,4/25/2024,7:42,600 s continuous,600,20240425_074154_H03_0742.WAV,AudioMoth 24E144025D018F18,7:42,full
Candura_pointCountSurvey,2024Summer,D02,10.303094,76.840277,NA,4/25/2024,7:52,600 s continuous,600,20240425_075212_D02_0752_PARTA.WAV,AudioMoth 240435025CC5C90F,7:52,PARTA
Candura_pointCountSurvey,2024Summer,K04,10.3049382,76.8338976,NA,4/25/2024,7:55,600 s continuous,600,20240425_075507_K04_0755_PARTA.WAV,AudioMoth 245AAA0563ED0680,7:55,PARTA
Candura_pointCountSurvey,2024Summer,G03,10.3040135,76.8375437,NA,4/25/2024,7:57,600 s continuous,600,20240425_075730_G03_0757_PARTA.WAV,AudioMoth 24E144025D018F18,7:57,PARTA
Candura_pointCountSurvey,2024Summer,D02,10.303094,76.840277,NA,4/25/2024,7:52,600 s continuous,600,20240425_080000_D02_0752_PARTB.WAV,AudioMoth 240435025CC5C90F,7:52,PARTB
Candura_pointCountSurvey,2024Summer,G03,10.3040135,76.8375437,NA,4/25/2024,7:57,600 s continuous,600,20240425_080000_G03_0757_PARTB.WAV,AudioMoth 24E144025D018F18,7:57,PARTB
Candura_pointCountSurvey,2024Summer,K04,10.3049382,76.8338976,NA,4/25/2024,7:55,600 s continuous,600,20240425_080000_K04_0755_PARTB.WAV,AudioMoth 245AAA0563ED0680,7:55,PARTB
Candura_pointCountSurvey,2024Summer,L04,10.3049434,76.8329848,NA,4/25/2024,8:09,600 s continuous,600,20240425_080932_L04_0809.WAV,AudioMoth 245AAA0563ED0680,8:09,full
Candura_pointCountSurvey,2024Summer,E02,10.3030992,76.8393641,NA,4/25/2024,8:14,600 s continuous,600,20240425_081357_E02_0814.WAV,AudioMoth 240435025CC5C90F,8:14,full
Candura_pointCountSurvey,2024Summer,F03,10.3040083,76.8384566,NA,4/25/2024,8:14,600 s continuous,600,20240425_081438_F03_0814.WAV,AudioMoth 24E144025D018F18,8:14,full
Candura_pointCountSurvey,2024Summer,L05,10.3058474,76.83299,NA,4/25/2024,8:32,600 s continuous,600,20240425_083207_L05_0832.WAV,AudioMoth 245AAA0563ED0680,8:32,full
Candura_pointCountSurvey,2024Summer,F02,10.3031044,76.8384513,NA,4/25/2024,8:32,600 s continuous,600,20240425_083259_F02_0832.WAV,AudioMoth 24E144025D018F18,8:32,full
Candura_pointCountSurvey,2024Summer,D03,10.3039979,76.8402822,NA,4/25/2024,8:37,600 s continuous,600,20240425_083728_D03_0837.WAV,AudioMoth 240435025CC5C90F,8:37,full
Candura_pointCountSurvey,2024Summer,K05,10.3058422,76.8339028,NA,4/25/2024,8:46,600 s continuous,600,20240425_084619_K05_0846.WAV,AudioMoth 245AAA0563ED0680,8:46,full
Candura_pointCountSurvey,2024Summer,C03,10.3039927,76.8411951,NA,4/25/2024,8:55,600 s continuous,600,20240425_085505_C03_0855_PARTA.WAV,AudioMoth 240435025CC5C90F,8:55,PARTA
Candura_pointCountSurvey,2024Summer,E03,10.3040031,76.8393694,NA,4/25/2024,8:58,600 s continuous,600,20240425_085810_E03_0858_PARTA.WAV,AudioMoth 24E144025D018F18,8:58,PARTA
Candura_pointCountSurvey,2024Summer,C03,10.3039927,76.8411951,NA,4/25/2024,8:55,600 s continuous,600,20240425_090000_C03_0855_PARTB.WAV,AudioMoth 240435025CC5C90F,8:55,PARTB
Candura_pointCountSurvey,2024Summer,E03,10.3040031,76.8393694,NA,4/25/2024,8:58,600 s continuous,600,20240425_090000_E03_0858_PARTB.WAV,AudioMoth 24E144025D018F18,8:58,PARTB
Candura_pointCountSurvey,2024Winter,J12,10.312165,76.834852,NA,12/16/2024,6:38,600 s continuous,600,20241216_06:38_J12.WAV,AudioMoth 248D9B0260377917,6:38,full
Candura_pointCountSurvey,2024Winter,J10,10.310357,76.834842,NA,12/16/2024,6:42,600 s continuous,600,20241216_06:42_J10.WAV,AudioMoth 2453AC0263ED18BF,6:42,full
Candura_pointCountSurvey,2024Winter,J11,10.311261,76.834847,NA,12/16/2024,6:47,600 s continuous,600,20241216_06:47_J11.WAV,AudioMoth 2453AC0263ED0704,6:47,full
